sample_name	sample_id	species	locus	product_subtype	owning_workspace_id	kit_pool	sample_properties	sku	test_name	sample_catalog_tags	sample_rich_tags	sample_rich_tags_json	hla_class_i	hla_class_ii	kit_control	sequence_result_id	total_templates	productive_templates	outofframe_templates	stop_templates	dj_templates	total_rearrangements	productive_rearrangements	outofframe_rearrangements	stop_rearrangements	dj_rearrangements	total_reads	total_productive_reads	total_outofframe_reads	total_stop_reads	total_dj_reads	productive_clonality	productive_entropy	sample_clonality	sample_entropy	sample_amount_ng	sample_cells_mass_estimate	fraction_productive_of_cells_mass_estimate	sample_cells	fraction_productive_of_cells	max_productive_frequency	max_frequency	counting_method	primer_set	sequence_result_status	release_date	upload_date	fraction_productive	order_name	kit_id	total_t_cells	total_templates_agg	min_rearrangement_length
TCR_buffy_HD2R	a1b82f76-6aad-4ccc-98c6-aae308cb04af	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"BCRT Charite- Schmueck-Henneressee- TCRBKit-01"}	ISK10001	immunoSEQ hsTCRB Kit						Sample	0d7b67a5-94e4-4951-8586-c01775f761b2	7034	5390	1566	78	na	987	748	218	21	na	na	na	na	na	na	0.4944	4.8266	0.4786	5.1858	no data	no data	no data	no data	no data	0.352133572	0.269832253	v3	Human-TCRB-PD1x	Published	01/30/17 08:13:25	01/30/17 02:57:25	0.7663			no data	no data	87
TCR_buffy_HD1R	1d1ca816-d8e7-48db-92aa-08f660e8b766	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"BCRT Charite- Schmueck-Henneressee- TCRBKit-01"}	ISK10001	immunoSEQ hsTCRB Kit						Sample	0c760856-76b1-45d4-ba9f-99643637014c	25343	24967	364	12	na	719	586	124	9	na	na	na	na	na	na	0.7080	2.6850	0.7012	2.8355	no data	no data	no data	no data	no data	0.516521811	0.508858442	v3	Human-TCRB-PD1x	Published	08/10/17 06:45:28	08/10/17 04:00:00	0.9852			no data	no data	87
TCR_buffy_HD3R	941a5b43-ffff-45a0-9809-11086529158c	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"BCRT Charite- Schmueck-Henneressee- TCRBKit-01"}	ISK10001	immunoSEQ hsTCRB Kit						Sample	45a77700-0542-47fa-a833-f12942bdaf6c	40892	33214	7574	104	na	1835	1420	388	27	na	na	na	na	na	na	0.3613	6.6886	0.3721	6.8071	no data	no data	no data	no data	no data	0.0714156702	0.098625645	v3	Human-TCRB-PD1x	Published	08/10/17 06:50:11	08/10/17 04:00:00	0.8122			no data	no data	87
TCR_buffy_HD1	5a836799-d285-4ce0-a782-f1cbce585449	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"BCRT Charite- Schmueck-Henneressee- TCRBKit-01"}	ISK10001	immunoSEQ hsTCRB Kit						Sample	08b8dc88-61ca-447e-9feb-541b156a092d	21951	21715	225	11	na	466	371	88	7	na	na	na	na	na	na	0.6880	2.6629	0.6866	2.7780	no data	no data	no data	no data	no data	0.454110056	0.44922784	v3	Human-TCRB-PD1x	Published	08/10/17 06:45:28	08/10/17 04:00:00	0.9892			no data	no data	87
TCR_buffy_HD3	39d4dff8-e2e4-4de4-b7b0-80a8aebb5f24	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"BCRT Charite- Schmueck-Henneressee- TCRBKit-01"}	ISK10001	immunoSEQ hsTCRB Kit						Sample	6fefbe8f-7925-4969-9dbc-4721ac6f6fd1	50861	33239	17575	47	na	1569	1178	369	22	na	na	na	na	na	na	0.4742	5.3644	0.5293	4.9964	no data	no data	no data	no data	no data	0.273774773	0.287646711	v3	Human-TCRB-PD1x	Published	08/10/17 06:50:11	08/10/17 04:00:00	0.6535			no data	no data	87
TCR_buffy_HD2	d8578e8f-fa04-4fc4-a0b1-ca7665e334da	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"BCRT Charite- Schmueck-Henneressee- TCRBKit-01"}	ISK10001	immunoSEQ hsTCRB Kit						Sample	b6a7d484-9124-462d-92bf-b3c426427609	32082	27255	4816	11	na	449	320	123	6	na	na	na	na	na	na	0.7981	1.6806	0.7477	2.2225	no data	no data	no data	no data	no data	0.705668688	0.599495053	v3	Human-TCRB-PD1x	Published	01/30/17 08:13:25	01/30/17 02:57:21	0.8495			no data	no data	87
